ts,tile,value
2025-04-27T11:28:19.857912+00:00,tile6,1754
2025-04-27T11:28:19.861262+00:00,tile4,15087
2025-04-27T11:28:19.981200+00:00,tile1,-321095
2025-04-27T11:28:19.988605+00:00,tile2,-216858
2025-04-27T11:28:19.994006+00:00,tile3,-227506
2025-04-27T11:28:19.996144+00:00,tile4,15087
2025-04-27T11:28:19.998805+00:00,tile5,-2897
2025-04-27T11:28:20.002059+00:00,tile6,1754
2025-04-27T11:28:20.004071+00:00,tile7,-313
2025-04-27T11:28:20.006533+00:00,tile8,-220161
2025-04-27T11:28:20.009048+00:00,tile9,194303
2025-04-27T11:28:20.012301+00:00,tile10,-139853
2025-04-27T11:28:20.015330+00:00,tile11,184093
2025-04-27T11:28:20.034935+00:00,tile13,11760
2025-04-27T11:28:20.044648+00:00,tile14,-325
2025-04-27T11:28:20.047883+00:00,tile15,-1431
2025-04-27T11:28:20.068816+00:00,tile16,-171877
2025-04-27T11:28:20.071564+00:00,tile17,-314
2025-04-27T11:28:20.080870+00:00,tile18,-6455
2025-04-27T11:28:20.718226+00:00,tile7,-311
2025-04-27T11:28:23.939432+00:00,tile13,11360
2025-04-27T11:28:24.410024+00:00,tile10,-139900
2025-04-27T11:28:24.742819+00:00,tile9,194316
2025-04-27T11:28:26.015959+00:00,tile8,-222456
2025-04-27T11:28:26.518305+00:00,tile16,-171927
2025-04-27T11:28:27.125386+00:00,tile14,-307
2025-04-27T11:28:27.144287+00:00,tile1,-316559
2025-04-27T11:28:28.336323+00:00,tile11,184080
2025-04-27T11:28:28.357016+00:00,tile18,-6473
2025-04-27T11:28:28.382238+00:00,tile17,-317
2025-04-27T11:28:28.402166+00:00,tile2,-216870
2025-04-27T11:28:28.408282+00:00,tile15,-1424
2025-04-27T11:28:30.384007+00:00,tile3,-227533
2025-04-27T11:28:30.388566+00:00,tile5,-2964
2025-04-27T11:28:30.392368+00:00,tile6,1766
2025-04-27T11:28:30.395933+00:00,tile4,15032
2025-04-27T11:28:30.399450+00:00,tile7,-331
2025-04-27T11:28:33.939233+00:00,tile13,11970
2025-04-27T11:28:34.409995+00:00,tile10,-139812
2025-04-27T11:28:34.781015+00:00,tile9,194258
2025-04-27T11:28:36.014536+00:00,tile8,-222945
2025-04-27T11:28:36.516792+00:00,tile16,-171983
2025-04-27T11:28:36.825006+00:00,tile14,-309
2025-04-27T11:28:36.829295+00:00,tile1,-316286
2025-04-27T11:28:37.594510+00:00,tile11,184076
2025-04-27T11:28:37.599106+00:00,tile18,-6338
2025-04-27T11:28:37.602038+00:00,tile17,-316
2025-04-27T11:28:38.613331+00:00,tile2,-216893
2025-04-27T11:28:38.618021+00:00,tile15,-1428
2025-04-27T11:28:38.622025+00:00,tile3,-227522
2025-04-27T11:28:38.624880+00:00,tile5,-2919
2025-04-27T11:28:39.741050+00:00,tile6,1848
2025-04-27T11:28:39.893345+00:00,tile4,15040
2025-04-27T11:28:40.391052+00:00,tile7,-313
2025-04-27T11:28:43.938892+00:00,tile13,11669
2025-04-27T11:28:44.409892+00:00,tile10,-139925
2025-04-27T11:28:44.771043+00:00,tile9,194239
2025-04-27T11:28:46.015058+00:00,tile8,-222464
2025-04-27T11:28:46.516443+00:00,tile16,-171910
2025-04-27T11:28:46.770448+00:00,tile14,-278
2025-04-27T11:28:46.777239+00:00,tile1,-316688
2025-04-27T11:28:47.443300+00:00,tile11,184053
2025-04-27T11:28:47.448077+00:00,tile18,-6441
2025-04-27T11:28:47.452202+00:00,tile17,-336
2025-04-27T11:28:48.294185+00:00,tile2,-216856
2025-04-27T11:28:48.479639+00:00,tile15,-1422
2025-04-27T11:28:48.485641+00:00,tile3,-227528
2025-04-27T11:28:49.110829+00:00,tile5,-2946
2025-04-27T11:28:49.496169+00:00,tile6,1770
2025-04-27T11:28:49.830094+00:00,tile4,15096
2025-04-27T11:28:50.127445+00:00,tile7,-335
2025-04-27T11:28:53.938983+00:00,tile13,11277
2025-04-27T11:28:54.409512+00:00,tile10,-139915
2025-04-27T11:28:54.676931+00:00,tile9,194178
2025-04-27T11:28:56.016916+00:00,tile8,-223218
2025-04-27T11:28:56.514087+00:00,tile16,-171981
2025-04-27T11:28:56.766621+00:00,tile14,-277
2025-04-27T11:28:56.772153+00:00,tile1,-317891
2025-04-27T11:28:57.456564+00:00,tile11,184035
2025-04-27T11:28:57.462016+00:00,tile18,-6436
2025-04-27T11:28:57.467012+00:00,tile17,-326
2025-04-27T11:28:58.516165+00:00,tile2,-216828
2025-04-27T11:28:58.521616+00:00,tile15,-1438
2025-04-27T11:28:58.525645+00:00,tile3,-227496
2025-04-27T11:28:59.210199+00:00,tile5,-2780
2025-04-27T11:28:59.541330+00:00,tile6,1794
2025-04-27T11:28:59.545431+00:00,tile4,15047
2025-04-27T11:29:00.504257+00:00,tile7,-337
2025-04-27T11:29:03.938613+00:00,tile13,11994
2025-04-27T11:29:04.412367+00:00,tile10,-139928
2025-04-27T11:29:04.684403+00:00,tile9,194166
2025-04-27T11:29:06.014474+00:00,tile8,-223809
2025-04-27T11:29:06.513906+00:00,tile16,-171877
2025-04-27T11:29:06.802081+00:00,tile14,-268
2025-04-27T11:29:06.807203+00:00,tile1,-318285
2025-04-27T11:29:07.446661+00:00,tile11,184075
2025-04-27T11:29:07.450767+00:00,tile18,-6504
2025-04-27T11:29:07.464961+00:00,tile17,-318
2025-04-27T11:29:08.463791+00:00,tile2,-216907
2025-04-27T11:29:08.468401+00:00,tile15,-1423
2025-04-27T11:29:08.480297+00:00,tile3,-227492
2025-04-27T11:29:09.248173+00:00,tile5,-2814
2025-04-27T11:29:09.687174+00:00,tile6,1797
2025-04-27T11:29:09.691999+00:00,tile4,15103
2025-04-27T11:29:10.308933+00:00,tile7,-314
2025-04-27T11:29:13.937506+00:00,tile13,11516
2025-04-27T11:29:14.409024+00:00,tile10,-139866
2025-04-27T11:29:14.757074+00:00,tile9,194146
2025-04-27T11:29:16.013803+00:00,tile8,-224049
2025-04-27T11:29:16.514669+00:00,tile16,-171952
2025-04-27T11:29:16.784571+00:00,tile14,-324
2025-04-27T11:29:16.788761+00:00,tile1,-318429
2025-04-27T11:29:17.419566+00:00,tile11,184037
2025-04-27T11:29:17.424545+00:00,tile18,-6456
2025-04-27T11:29:17.428770+00:00,tile17,-325
2025-04-27T11:29:18.339117+00:00,tile2,-216930
2025-04-27T11:29:18.343079+00:00,tile15,-1423
2025-04-27T11:29:18.481018+00:00,tile3,-227540
2025-04-27T11:29:19.155110+00:00,tile5,-2903
2025-04-27T11:29:19.691225+00:00,tile6,1789
2025-04-27T11:29:19.809626+00:00,tile4,15068
2025-04-27T11:29:20.438233+00:00,tile7,-284
2025-04-27T11:29:23.937744+00:00,tile13,11713
2025-04-27T11:29:24.414846+00:00,tile10,-139888
2025-04-27T11:29:24.724181+00:00,tile9,194157
2025-04-27T11:29:26.014370+00:00,tile8,-224278
2025-04-27T11:29:26.513570+00:00,tile16,-171909
2025-04-27T11:29:26.780446+00:00,tile14,-366
2025-04-27T11:29:26.786180+00:00,tile1,-318994
2025-04-27T11:29:27.441465+00:00,tile11,184085
2025-04-27T11:29:27.446889+00:00,tile18,-6468
2025-04-27T11:29:27.451311+00:00,tile17,-313
2025-04-27T11:29:28.278198+00:00,tile2,-216908
2025-04-27T11:29:28.434429+00:00,tile15,-1429
2025-04-27T11:29:28.442251+00:00,tile3,-227513
2025-04-27T11:29:28.776072+00:00,tile5,-2910
2025-04-27T11:29:29.773583+00:00,tile6,1784
2025-04-27T11:29:29.778163+00:00,tile4,15095
2025-04-27T11:29:30.425839+00:00,tile7,-325
2025-04-27T11:29:33.937272+00:00,tile13,12025
2025-04-27T11:29:34.408357+00:00,tile10,-139905
2025-04-27T11:29:34.683152+00:00,tile9,194188
2025-04-27T11:29:36.014250+00:00,tile8,-224478
2025-04-27T11:29:36.514162+00:00,tile16,-171906
2025-04-27T11:29:36.813226+00:00,tile14,-281
2025-04-27T11:29:36.819416+00:00,tile1,-319497
2025-04-27T11:29:37.399681+00:00,tile11,184029
2025-04-27T11:29:37.405850+00:00,tile18,-6490
2025-04-27T11:29:37.410300+00:00,tile17,-300
2025-04-27T11:29:38.236953+00:00,tile2,-216856
2025-04-27T11:29:38.375917+00:00,tile15,-1440
2025-04-27T11:29:38.881936+00:00,tile3,-227491
2025-04-27T11:29:39.037379+00:00,tile5,-2805
2025-04-27T11:29:39.696726+00:00,tile6,1856
2025-04-27T11:29:39.702839+00:00,tile4,15086
2025-04-27T11:29:40.355248+00:00,tile7,-311
2025-04-27T11:29:43.937038+00:00,tile13,12056
2025-04-27T11:29:44.411648+00:00,tile10,-139851
2025-04-27T11:29:44.676857+00:00,tile9,194144
2025-04-27T11:29:46.013965+00:00,tile8,-224052
2025-04-27T11:29:46.514881+00:00,tile16,-171912
2025-04-27T11:29:46.789083+00:00,tile14,-295
2025-04-27T11:29:46.793507+00:00,tile1,-320176
2025-04-27T11:29:47.472569+00:00,tile11,184094
2025-04-27T11:29:47.477362+00:00,tile18,-6403
2025-04-27T11:29:47.480260+00:00,tile17,-315
2025-04-27T11:29:48.291022+00:00,tile2,-216848
2025-04-27T11:29:48.445176+00:00,tile15,-1414
2025-04-27T11:29:48.451548+00:00,tile3,-227495
2025-04-27T11:29:48.786678+00:00,tile5,-2846
2025-04-27T11:29:49.668530+00:00,tile6,1830
2025-04-27T11:29:49.821621+00:00,tile4,15090
2025-04-27T11:29:50.151798+00:00,tile7,-300
2025-04-27T11:29:53.768319+00:00,tile8,-28
2025-04-27T11:29:54.045882+00:00,tile13,11765
2025-04-27T11:29:54.050806+00:00,tile8,-224741
2025-04-27T11:29:54.682024+00:00,tile10,-139892
2025-04-27T11:29:54.687421+00:00,tile9,194213
2025-04-27T11:29:56.014203+00:00,tile8,-224781
2025-04-27T11:29:56.512757+00:00,tile16,-171835
2025-04-27T11:29:56.791379+00:00,tile14,-316
2025-04-27T11:29:56.795978+00:00,tile1,-315375
2025-04-27T11:29:57.415803+00:00,tile11,184054
2025-04-27T11:29:57.421381+00:00,tile18,-6447
2025-04-27T11:29:57.425451+00:00,tile17,-320
2025-04-27T11:29:58.437973+00:00,tile2,-216900
2025-04-27T11:29:58.443431+00:00,tile15,-1428
2025-04-27T11:29:58.448012+00:00,tile3,-227529
2025-04-27T11:29:59.166031+00:00,tile5,-2900
2025-04-27T11:29:59.518928+00:00,tile6,1792
2025-04-27T11:29:59.871297+00:00,tile4,15098
2025-04-27T11:30:00.202108+00:00,tile7,-306
2025-04-27T11:30:03.936440+00:00,tile13,11766
2025-04-27T11:30:04.407236+00:00,tile10,-139913
2025-04-27T11:30:04.702708+00:00,tile9,194535
2025-04-27T11:30:06.013064+00:00,tile8,-225483
2025-04-27T11:30:06.514329+00:00,tile16,-171939
2025-04-27T11:30:06.817926+00:00,tile14,-265
2025-04-27T11:30:06.823729+00:00,tile1,-315721
2025-04-27T11:30:07.458644+00:00,tile11,184081
2025-04-27T11:30:07.463606+00:00,tile18,-6490
2025-04-27T11:30:07.478005+00:00,tile17,-314
2025-04-27T11:30:08.362546+00:00,tile2,-216956
2025-04-27T11:30:08.584024+00:00,tile15,-1434
2025-04-27T11:30:08.587918+00:00,tile3,-227502
2025-04-27T11:30:08.591371+00:00,tile5,-2870
2025-04-27T11:30:09.862612+00:00,tile6,1834
2025-04-27T11:30:10.017810+00:00,tile4,15121
2025-04-27T11:30:13.937655+00:00,tile13,11755
2025-04-27T11:30:14.407517+00:00,tile10,-139862
2025-04-27T11:30:14.748905+00:00,tile9,194574
2025-04-27T11:30:16.012608+00:00,tile8,-225533
2025-04-27T11:30:16.514328+00:00,tile16,-171903
2025-04-27T11:30:16.811625+00:00,tile14,-243
2025-04-27T11:30:16.817071+00:00,tile1,-315218
2025-04-27T11:30:17.445127+00:00,tile11,184066
2025-04-27T11:30:17.450667+00:00,tile18,-6470
2025-04-27T11:30:17.466890+00:00,tile17,-318
2025-04-27T11:30:18.343394+00:00,tile2,-216933
2025-04-27T11:30:18.347747+00:00,tile15,-1428
2025-04-27T11:30:18.497303+00:00,tile3,-227492
2025-04-27T11:30:19.142592+00:00,tile5,-2963
2025-04-27T11:30:19.654791+00:00,tile6,1778
2025-04-27T11:30:19.814477+00:00,tile4,15031
2025-04-27T11:30:23.936200+00:00,tile13,11842
2025-04-27T11:30:24.408853+00:00,tile10,-139900
2025-04-27T11:30:24.726032+00:00,tile9,194584
2025-04-27T11:30:26.040405+00:00,tile8,-225618
2025-04-27T11:30:26.512126+00:00,tile16,-171915
2025-04-27T11:30:26.782372+00:00,tile14,-308
2025-04-27T11:30:26.787741+00:00,tile1,-315115
2025-04-27T11:30:27.501903+00:00,tile11,184068
2025-04-27T11:30:27.506299+00:00,tile18,-6397
2025-04-27T11:30:27.521835+00:00,tile17,-312
2025-04-27T11:30:28.513149+00:00,tile2,-216953
2025-04-27T11:30:28.519430+00:00,tile15,-1430
2025-04-27T11:30:28.523208+00:00,tile3,-227452
2025-04-27T11:30:29.331712+00:00,tile5,-2885
2025-04-27T11:30:29.512179+00:00,tile6,1780
2025-04-27T11:30:29.995552+00:00,tile4,15060
2025-04-27T11:30:33.935831+00:00,tile13,11950
2025-04-27T11:30:34.409077+00:00,tile10,-139876
2025-04-27T11:30:34.722401+00:00,tile9,194614
2025-04-27T11:30:36.012500+00:00,tile8,-225757
2025-04-27T11:30:36.513512+00:00,tile16,-171897
2025-04-27T11:30:36.817420+00:00,tile14,-321
2025-04-27T11:30:36.823920+00:00,tile1,-319804
2025-04-27T11:30:37.502426+00:00,tile11,184029
2025-04-27T11:30:37.507530+00:00,tile18,-6496
2025-04-27T11:30:37.511102+00:00,tile17,-324
2025-04-27T11:30:38.492665+00:00,tile2,-216901
2025-04-27T11:30:38.497453+00:00,tile15,-1420
2025-04-27T11:30:38.501918+00:00,tile3,-227517
2025-04-27T11:30:39.296874+00:00,tile5,-2935
2025-04-27T11:30:39.755731+00:00,tile6,1748
2025-04-27T11:30:39.780100+00:00,tile4,15029
2025-04-27T11:30:43.935390+00:00,tile13,11932
2025-04-27T11:30:44.406535+00:00,tile10,-139856
2025-04-27T11:30:44.709992+00:00,tile9,194593
2025-04-27T11:30:46.014595+00:00,tile8,-225214
2025-04-27T11:30:46.510732+00:00,tile16,-171879
2025-04-27T11:30:46.852540+00:00,tile14,-309
2025-04-27T11:30:46.858413+00:00,tile1,-318833
2025-04-27T11:30:47.445997+00:00,tile11,184034
2025-04-27T11:30:47.451671+00:00,tile18,-6489
2025-04-27T11:30:47.456443+00:00,tile17,-316
2025-04-27T11:30:48.447091+00:00,tile2,-216910
2025-04-27T11:30:48.452411+00:00,tile15,-1439
2025-04-27T11:30:48.486713+00:00,tile3,-227519
2025-04-27T11:30:49.305375+00:00,tile5,-2854
2025-04-27T11:30:49.519508+00:00,tile13,-4766721
2025-04-27T11:30:49.523751+00:00,tile13,11809
2025-04-27T11:30:49.527435+00:00,tile6,1884
2025-04-27T11:30:50.494087+00:00,tile4,15063
2025-04-27T11:30:53.935148+00:00,tile13,12020
2025-04-27T11:30:54.406552+00:00,tile10,-139863
2025-04-27T11:30:54.652976+00:00,tile9,194586
2025-04-27T11:30:56.013627+00:00,tile8,-224944
2025-04-27T11:30:56.512112+00:00,tile16,-171886
2025-04-27T11:30:56.750338+00:00,tile14,-305
2025-04-27T11:30:56.755423+00:00,tile1,-319270
2025-04-27T11:30:57.332004+00:00,tile11,184082
2025-04-27T11:30:57.337254+00:00,tile18,-6483
2025-04-27T11:30:57.341884+00:00,tile17,-301
2025-04-27T11:30:58.232363+00:00,tile2,-216875
2025-04-27T11:30:58.381025+00:00,tile15,-1420
2025-04-27T11:30:58.894877+00:00,tile3,-227494
2025-04-27T11:30:59.026784+00:00,tile5,-2962
2025-04-27T11:30:59.670867+00:00,tile6,1782
2025-04-27T11:30:59.676287+00:00,tile4,15097
2025-04-27T11:31:03.934782+00:00,tile13,11791
2025-04-27T11:31:04.407978+00:00,tile10,-139876
2025-04-27T11:31:04.689719+00:00,tile9,194587
2025-04-27T11:31:06.011893+00:00,tile8,-225158
2025-04-27T11:31:06.510322+00:00,tile16,-171886
2025-04-27T11:31:06.807978+00:00,tile14,-310
2025-04-27T11:31:06.812637+00:00,tile1,-316492
2025-04-27T11:31:07.417771+00:00,tile11,184058
2025-04-27T11:31:07.423709+00:00,tile18,-6499
2025-04-27T11:31:07.429139+00:00,tile17,-320
2025-04-27T11:31:08.492668+00:00,tile2,-216977
2025-04-27T11:31:08.497731+00:00,tile15,-1435
2025-04-27T11:31:08.502750+00:00,tile3,-227530
2025-04-27T11:31:09.220216+00:00,tile5,-2903
2025-04-27T11:31:09.596890+00:00,tile6,1777
2025-04-27T11:31:09.601256+00:00,tile4,15079
2025-04-27T11:31:13.935586+00:00,tile13,11778
2025-04-27T11:31:14.405561+00:00,tile10,-139907
2025-04-27T11:31:14.740135+00:00,tile9,194686
2025-04-27T11:31:16.014151+00:00,tile8,-223300
2025-04-27T11:31:16.511223+00:00,tile16,-171908
2025-04-27T11:31:16.834916+00:00,tile14,-329
2025-04-27T11:31:16.841766+00:00,tile1,-316755
2025-04-27T11:31:17.531190+00:00,tile11,184049
2025-04-27T11:31:17.536172+00:00,tile18,-6505
2025-04-27T11:31:17.541481+00:00,tile17,-316
2025-04-27T11:31:18.577433+00:00,tile2,-216921
2025-04-27T11:31:18.582657+00:00,tile15,-1431
2025-04-27T11:31:18.587288+00:00,tile3,-227494
2025-04-27T11:31:19.322221+00:00,tile5,-2871
2025-04-27T11:31:19.711766+00:00,tile6,1878
2025-04-27T11:31:19.717129+00:00,tile13,-4449281
2025-04-27T11:31:19.721931+00:00,tile13,11828
2025-04-27T11:31:19.726439+00:00,tile4,15095
2025-04-27T11:31:23.934748+00:00,tile13,11491
2025-04-27T11:31:24.405888+00:00,tile10,-139906
2025-04-27T11:31:24.709006+00:00,tile9,194619
2025-04-27T11:31:26.011462+00:00,tile8,-223733
2025-04-27T11:31:26.512141+00:00,tile16,-171906
2025-04-27T11:31:26.806010+00:00,tile14,-221
2025-04-27T11:31:26.811543+00:00,tile1,-317979
2025-04-27T11:31:27.419080+00:00,tile11,184078
2025-04-27T11:31:27.424986+00:00,tile18,-6384
2025-04-27T11:31:27.429914+00:00,tile17,-331
2025-04-27T11:31:28.289431+00:00,tile2,-216885
2025-04-27T11:31:28.473117+00:00,tile15,-1437
2025-04-27T11:31:28.491536+00:00,tile3,-227487
2025-04-27T11:31:29.247345+00:00,tile5,-2830
2025-04-27T11:31:29.600449+00:00,tile6,1835
2025-04-27T11:31:29.605679+00:00,tile4,15125
2025-04-27T11:31:33.933706+00:00,tile13,11756
2025-04-27T11:31:34.417222+00:00,tile10,-139937
2025-04-27T11:31:34.692859+00:00,tile9,194592
2025-04-27T11:31:36.011630+00:00,tile8,-222585
2025-04-27T11:31:36.510841+00:00,tile16,-171875
2025-04-27T11:31:36.751510+00:00,tile14,-260
2025-04-27T11:31:36.757110+00:00,tile1,-316296
2025-04-27T11:31:37.425462+00:00,tile11,184038
2025-04-27T11:31:37.431783+00:00,tile18,-6462
2025-04-27T11:31:37.436726+00:00,tile17,-278
2025-04-27T11:31:38.339883+00:00,tile2,-216973
2025-04-27T11:31:38.344148+00:00,tile15,-1452
2025-04-27T11:31:38.498938+00:00,tile3,-227491
2025-04-27T11:31:39.130501+00:00,tile5,-2931
2025-04-27T11:31:39.629597+00:00,tile2,2473983
2025-04-27T11:31:39.635114+00:00,tile2,-216903
2025-04-27T11:31:39.816497+00:00,tile6,1800
2025-04-27T11:31:39.821075+00:00,tile4,15072
2025-04-27T11:31:43.933668+00:00,tile13,11739
2025-04-27T11:31:44.405059+00:00,tile10,-139864
2025-04-27T11:31:44.656223+00:00,tile9,194627
