ts,tile,value
2025-04-27T11:33:49.721442+00:00,tile6,1920
2025-04-27T11:33:49.725038+00:00,tile4,15041
2025-04-27T11:33:49.727936+00:00,tile1,-319785
2025-04-27T11:33:49.735136+00:00,tile2,-217004
2025-04-27T11:33:49.738521+00:00,tile3,-227489
2025-04-27T11:33:49.742496+00:00,tile4,15041
2025-04-27T11:33:49.746443+00:00,tile5,-2865
2025-04-27T11:33:49.749032+00:00,tile6,1920
2025-04-27T11:33:49.752808+00:00,tile7,-306
2025-04-27T11:33:49.756726+00:00,tile8,-222992
2025-04-27T11:33:49.760383+00:00,tile9,194167
2025-04-27T11:33:49.763408+00:00,tile10,-139880
2025-04-27T11:33:49.767939+00:00,tile11,184066
2025-04-27T11:33:49.771108+00:00,tile13,11762
2025-04-27T11:33:49.774979+00:00,tile14,-251
2025-04-27T11:33:49.778288+00:00,tile15,-1427
2025-04-27T11:33:49.799442+00:00,tile16,-172157
2025-04-27T11:33:49.803810+00:00,tile17,-329
2025-04-27T11:33:49.807230+00:00,tile18,-6454
2025-04-27T11:33:53.930461+00:00,tile13,11676
2025-04-27T11:33:54.404343+00:00,tile10,-139906
2025-04-27T11:33:54.714306+00:00,tile9,194328
2025-04-27T11:33:56.008564+00:00,tile8,-222939
2025-04-27T11:33:56.507827+00:00,tile16,-172141
2025-04-27T11:33:56.814216+00:00,tile14,-220
2025-04-27T11:33:56.818680+00:00,tile1,-319976
2025-04-27T11:33:57.494549+00:00,tile11,184030
2025-04-27T11:33:57.497736+00:00,tile18,-6482
2025-04-27T11:33:57.501257+00:00,tile17,-317
2025-04-27T11:33:58.696280+00:00,tile2,-216950
2025-04-27T11:33:59.093478+00:00,tile15,-1428
2025-04-27T11:33:59.106186+00:00,tile5,-2847
2025-04-27T11:33:59.136873+00:00,tile3,-227519
2025-04-27T11:34:00.425969+00:00,tile6,1774
2025-04-27T11:34:00.429198+00:00,tile4,15060
2025-04-27T11:34:03.930107+00:00,tile13,11600
2025-04-27T11:34:04.521187+00:00,tile10,-139912
2025-04-27T11:34:04.881313+00:00,tile9,194462
2025-04-27T11:34:06.008352+00:00,tile8,-223149
2025-04-27T11:34:06.505687+00:00,tile16,-172037
2025-04-27T11:34:06.846394+00:00,tile14,-280
2025-04-27T11:34:06.850302+00:00,tile1,-321416
2025-04-27T11:34:07.552786+00:00,tile11,184037
2025-04-27T11:34:07.557496+00:00,tile18,-6413
2025-04-27T11:34:07.561493+00:00,tile17,-294
2025-04-27T11:34:08.660842+00:00,tile2,-216778
2025-04-27T11:34:08.665684+00:00,tile15,-1426
2025-04-27T11:34:08.670720+00:00,tile3,-227485
2025-04-27T11:34:08.674725+00:00,tile5,-2873
2025-04-27T11:34:10.065205+00:00,tile6,1808
2025-04-27T11:34:10.069834+00:00,tile4,15065
2025-04-27T11:34:13.928696+00:00,tile13,11662
2025-04-27T11:34:14.401917+00:00,tile10,-139984
2025-04-27T11:34:14.696846+00:00,tile9,191973
2025-04-27T11:34:16.007948+00:00,tile8,-223161
2025-04-27T11:34:16.507244+00:00,tile16,-172108
2025-04-27T11:34:16.799204+00:00,tile14,-301
