ts_cmd,ts_ack,lat_ms,tile
2025-04-27T11:33:49.119493+00:00,2025-04-27T11:33:49.731894+00:00,612.4,tile1
2025-04-27T11:33:50.122302+00:00,2025-04-27T11:33:50.378400+00:00,256.1,tile2
2025-04-27T11:33:51.125295+00:00,2025-04-27T11:33:51.147869+00:00,22.6,tile3
2025-04-27T11:33:52.127902+00:00,2025-04-27T11:33:52.143386+00:00,15.5,tile4
2025-04-27T11:33:53.130298+00:00,2025-04-27T11:33:53.152394+00:00,22.1,tile5
2025-04-27T11:33:54.136457+00:00,2025-04-27T11:33:54.242198+00:00,105.7,tile6
2025-04-27T11:33:56.140391+00:00,2025-04-27T11:33:56.359299+00:00,218.9,tile8
2025-04-27T11:33:57.142346+00:00,2025-04-27T11:33:58.690888+00:00,1548.5,tile9
2025-04-27T11:33:58.146480+00:00,2025-04-27T11:34:00.405771+00:00,2259.3,tile10
2025-04-27T11:33:59.212448+00:00,2025-04-27T11:34:01.738166+00:00,2525.7,tile11
2025-04-27T11:34:01.231208+00:00,2025-04-27T11:34:01.761448+00:00,530.2,tile13
2025-04-27T11:34:02.233135+00:00,2025-04-27T11:34:02.246668+00:00,13.5,tile14
2025-04-27T11:34:03.236144+00:00,2025-04-27T11:34:03.262870+00:00,26.7,tile15
2025-04-27T11:34:04.274159+00:00,2025-04-27T11:34:04.877034+00:00,602.9,tile16
2025-04-27T11:34:05.311553+00:00,2025-04-27T11:34:05.333852+00:00,22.3,tile17
2025-04-27T11:34:06.314212+00:00,2025-04-27T11:34:06.376271+00:00,62.1,tile18
2025-04-27T11:34:09.119823+00:00,2025-04-27T11:34:10.934966+00:00,1815.1,tile1
2025-04-27T11:34:10.123358+00:00,2025-04-27T11:34:10.940438+00:00,817.1,tile2
2025-04-27T11:34:11.126628+00:00,2025-04-27T11:34:11.147970+00:00,21.3,tile3
2025-04-27T11:34:12.130010+00:00,2025-04-27T11:34:12.151905+00:00,21.9,tile4
2025-04-27T11:34:13.132311+00:00,2025-04-27T11:34:13.152970+00:00,20.7,tile5
2025-04-27T11:34:14.334675+00:00,2025-04-27T11:34:14.358606+00:00,23.9,tile6
2025-04-27T11:34:16.339328+00:00,2025-04-27T11:34:16.356847+00:00,17.5,tile8
2025-04-27T11:34:17.341240+00:00,2025-04-27T11:34:17.945672+00:00,604.4,tile9
2025-04-27T11:34:18.343258+00:00,2025-04-27T11:34:19.263766+00:00,920.5,tile10
2025-04-27T11:34:19.345125+00:00,2025-04-27T11:34:20.378377+00:00,1033.3,tile11
2025-04-27T11:34:21.350587+00:00,2025-04-27T11:34:21.373507+00:00,22.9,tile13
2025-04-27T11:34:22.353230+00:00,2025-04-27T11:34:22.375579+00:00,22.3,tile14
2025-04-27T11:34:23.355757+00:00,2025-04-27T11:34:23.372961+00:00,17.2,tile15
2025-04-27T11:34:24.358047+00:00,2025-04-27T11:34:24.378005+00:00,20.0,tile16
2025-04-27T11:34:25.361330+00:00,2025-04-27T11:34:25.382657+00:00,21.3,tile17
2025-04-27T11:34:26.365078+00:00,2025-04-27T11:34:26.378128+00:00,13.0,tile18
2025-04-27T11:34:29.171633+00:00,2025-04-27T11:34:29.739528+00:00,567.9,tile1
2025-04-27T11:34:30.174831+00:00,2025-04-27T11:34:30.305013+00:00,130.2,tile2
2025-04-27T11:34:31.177314+00:00,2025-04-27T11:34:33.619387+00:00,2442.1,tile3
2025-04-27T11:34:32.178997+00:00,2025-04-27T11:34:38.535431+00:00,6356.4,tile4
2025-04-27T11:34:33.180991+00:00,2025-04-27T11:34:41.998772+00:00,8817.8,tile5
2025-04-27T11:34:34.382928+00:00,2025-04-27T11:34:42.013872+00:00,7630.9,tile6
2025-04-27T11:34:36.402597+00:00,2025-04-27T11:34:46.189430+00:00,9786.8,tile8
2025-04-27T11:34:41.437912+00:00,2025-04-27T11:34:50.296094+00:00,8858.2,tile13
