ts,cpu,ram
2025-04-27T11:33:49.126586+00:00,0.0,71.3
2025-04-27T11:33:54.136759+00:00,16.4,64.8
2025-04-27T11:33:59.224142+00:00,51.4,70.4
2025-04-27T11:34:04.326892+00:00,58.8,75.5
2025-04-27T11:34:09.343786+00:00,37.3,76.2
2025-04-27T11:34:14.359225+00:00,13.9,74.4
2025-04-27T11:34:19.369477+00:00,26.1,72.1
2025-04-27T11:34:24.378140+00:00,20.3,69.7
2025-04-27T11:34:29.387632+00:00,15.0,65.0
2025-04-27T11:34:34.396840+00:00,30.0,67.0
2025-04-27T11:34:39.425395+00:00,61.3,73.0
2025-04-27T11:34:44.435476+00:00,48.0,76.2
2025-04-27T11:34:49.447686+00:00,14.9,75.8
2025-04-27T11:34:54.461043+00:00,22.7,74.8
2025-04-27T11:34:59.474229+00:00,19.4,73.6
2025-04-27T11:35:04.484796+00:00,25.8,71.9
2025-04-27T11:35:09.497054+00:00,32.0,72.1
2025-04-27T11:35:14.525781+00:00,23.2,71.8
2025-04-27T11:35:19.537544+00:00,34.5,66.1
2025-04-27T11:35:24.562302+00:00,62.2,71.5
2025-04-27T11:35:29.574951+00:00,63.3,75.8
2025-04-27T11:35:34.585948+00:00,35.4,76.6
2025-04-27T11:35:39.598533+00:00,23.4,76.1
2025-04-27T11:35:44.611231+00:00,26.4,74.8
2025-04-27T11:35:49.623719+00:00,24.6,72.9
2025-04-27T11:35:54.634740+00:00,22.1,71.8
2025-04-27T11:35:59.645280+00:00,23.1,71.2
2025-04-27T11:36:04.656965+00:00,23.4,65.7
2025-04-27T11:36:09.668279+00:00,45.5,68.2
2025-04-27T11:36:14.679978+00:00,65.8,73.2
2025-04-27T11:36:19.692868+00:00,64.6,78.1
2025-04-27T11:36:24.703753+00:00,35.9,78.8
2025-04-27T11:36:29.715447+00:00,25.6,77.4
2025-04-27T11:36:34.727863+00:00,28.3,77.5
2025-04-27T11:36:39.743856+00:00,29.5,74.9
2025-04-27T11:36:44.753273+00:00,27.6,73.3
2025-04-27T11:36:49.762770+00:00,21.3,71.7
2025-04-27T11:36:54.775619+00:00,24.9,68.0
2025-04-27T11:36:59.791606+00:00,38.9,70.0
2025-04-27T11:37:04.802036+00:00,60.6,75.0
2025-04-27T11:37:09.811752+00:00,65.7,79.0
2025-04-27T11:37:14.822173+00:00,25.3,79.1
2025-04-27T11:37:19.831528+00:00,24.8,77.0
2025-04-27T11:37:24.845241+00:00,25.1,74.2
2025-04-27T11:37:29.854309+00:00,29.3,73.3
2025-04-27T11:37:34.863862+00:00,25.1,68.6
2025-04-27T11:37:39.948498+00:00,39.8,72.1
2025-04-27T11:37:44.991304+00:00,64.6,76.3
2025-04-27T11:37:50.006535+00:00,63.3,79.4
2025-04-27T11:37:55.018858+00:00,32.7,79.1
2025-04-27T11:38:00.030375+00:00,28.4,76.0
2025-04-27T11:38:05.042754+00:00,24.1,74.2
2025-04-27T11:38:10.054932+00:00,23.4,68.4
2025-04-27T11:38:15.119981+00:00,39.5,71.7
2025-04-27T11:38:20.139459+00:00,64.3,76.0
2025-04-27T11:38:25.153780+00:00,62.8,79.5
2025-04-27T11:38:30.168220+00:00,27.3,77.3
2025-04-27T11:38:35.179446+00:00,24.4,77.1
2025-04-27T11:38:40.209097+00:00,28.7,76.4
2025-04-27T11:38:45.253382+00:00,25.6,76.1
2025-04-27T11:38:50.273468+00:00,23.4,75.6
2025-04-27T11:38:55.291026+00:00,25.3,74.5
2025-04-27T11:39:00.303292+00:00,27.2,71.0
2025-04-27T11:39:05.314848+00:00,40.5,73.1
2025-04-27T11:39:10.328096+00:00,66.8,77.8
2025-04-27T11:39:15.341019+00:00,65.3,82.5
2025-04-27T11:39:20.352362+00:00,29.0,82.7
2025-04-27T11:39:25.364855+00:00,29.6,82.1
2025-04-27T11:39:30.376775+00:00,29.5,80.0
2025-04-27T11:39:35.387492+00:00,29.3,78.8
2025-04-27T11:39:40.399523+00:00,22.8,76.8
2025-04-27T11:39:45.411724+00:00,24.5,72.7
2025-04-27T11:39:50.460209+00:00,45.8,76.5
2025-04-27T11:39:55.490207+00:00,64.7,80.7
2025-04-27T11:40:00.508535+00:00,60.9,82.0
2025-04-27T11:40:05.520709+00:00,25.9,81.8
2025-04-27T11:40:10.533081+00:00,22.1,81.0
2025-04-27T11:40:15.546568+00:00,26.2,79.7
2025-04-27T11:40:20.559700+00:00,21.0,78.0
2025-04-27T11:40:25.571869+00:00,24.6,77.1
2025-04-27T11:40:30.584326+00:00,20.5,76.1
2025-04-27T11:40:35.595941+00:00,25.7,74.6
2025-04-27T11:40:40.609444+00:00,26.8,71.8
2025-04-27T11:40:45.622032+00:00,64.5,77.1
2025-04-27T11:40:50.634633+00:00,59.8,81.4
2025-04-27T11:40:55.646773+00:00,39.1,81.9
2025-04-27T11:41:00.657479+00:00,30.2,80.3
2025-04-27T11:41:05.668907+00:00,25.4,78.4
2025-04-27T11:41:10.680241+00:00,19.4,76.7
2025-04-27T11:41:15.693409+00:00,23.2,74.8
2025-04-27T11:41:20.704518+00:00,22.0,73.4
2025-04-27T11:41:25.718419+00:00,34.2,72.1
2025-04-27T11:41:30.729289+00:00,64.2,76.7
2025-04-27T11:41:35.742316+00:00,61.9,81.3
2025-04-27T11:41:40.755796+00:00,28.1,81.3
2025-04-27T11:41:45.767023+00:00,34.9,79.8
2025-04-27T11:41:50.778343+00:00,31.1,77.5
2025-04-27T11:41:55.790887+00:00,27.9,76.5
2025-04-27T11:42:00.804956+00:00,23.7,74.7
2025-04-27T11:42:05.818052+00:00,24.9,73.3
2025-04-27T11:42:10.831521+00:00,32.7,72.1
2025-04-27T11:42:15.845001+00:00,60.8,76.2
2025-04-27T11:42:20.897336+00:00,69.1,73.9
2025-04-27T11:42:25.942187+00:00,91.8,73.3
