ts_cmd,ts_ack,lat_ms,tile
2025-04-27T11:28:18.606384+00:00,2025-04-27T11:28:19.985146+00:00,1378.8,tile1
2025-04-27T11:28:19.608012+00:00,2025-04-27T11:28:19.991106+00:00,383.1,tile2
2025-04-27T11:28:20.609556+00:00,2025-04-27T11:28:21.031229+00:00,421.7,tile3
2025-04-27T11:28:21.611454+00:00,2025-04-27T11:28:21.634846+00:00,23.4,tile4
2025-04-27T11:28:22.613015+00:00,2025-04-27T11:28:22.634281+00:00,21.3,tile5
2025-04-27T11:28:23.615538+00:00,2025-04-27T11:28:23.636489+00:00,21.0,tile6
2025-04-27T11:28:24.617699+00:00,2025-04-27T11:28:25.103879+00:00,486.2,tile7
2025-04-27T11:28:25.619710+00:00,2025-04-27T11:28:25.634429+00:00,14.7,tile8
2025-04-27T11:28:26.626155+00:00,2025-04-27T11:28:28.298868+00:00,1672.7,tile9
2025-04-27T11:28:27.643108+00:00,2025-04-27T11:28:28.432516+00:00,789.4,tile10
2025-04-27T11:28:28.647416+00:00,2025-04-27T11:28:32.632997+00:00,3985.6,tile11
2025-04-27T11:28:31.655794+00:00,2025-04-27T11:28:32.995052+00:00,1339.3,tile14
2025-04-27T11:28:30.652336+00:00,2025-04-27T11:28:33.000364+00:00,2348.0,tile13
2025-04-27T11:28:32.667059+00:00,2025-04-27T11:28:33.008770+00:00,341.7,tile15
2025-04-27T11:28:33.669516+00:00,2025-04-27T11:28:33.687668+00:00,18.2,tile16
2025-04-27T11:28:34.671478+00:00,2025-04-27T11:28:35.149071+00:00,477.6,tile17
2025-04-27T11:28:35.673580+00:00,2025-04-27T11:28:35.687553+00:00,14.0,tile18
2025-04-27T11:28:38.680029+00:00,2025-04-27T11:28:39.898394+00:00,1218.4,tile1
2025-04-27T11:28:39.683373+00:00,2025-04-27T11:28:40.386153+00:00,702.8,tile2
2025-04-27T11:28:40.686471+00:00,2025-04-27T11:28:40.894375+00:00,207.9,tile3
2025-04-27T11:28:41.689159+00:00,2025-04-27T11:28:41.703041+00:00,13.9,tile4
2025-04-27T11:28:42.691589+00:00,2025-04-27T11:28:42.712720+00:00,21.1,tile5
2025-04-27T11:28:43.694818+00:00,2025-04-27T11:28:43.713173+00:00,18.4,tile6
2025-04-27T11:28:44.697045+00:00,2025-04-27T11:28:45.078631+00:00,381.6,tile7
2025-04-27T11:28:45.698963+00:00,2025-04-27T11:28:45.718382+00:00,19.4,tile8
2025-04-27T11:28:46.702106+00:00,2025-04-27T11:28:47.288019+00:00,585.9,tile9
2025-04-27T11:28:47.704096+00:00,2025-04-27T11:28:49.104673+00:00,1400.6,tile10
2025-04-27T11:28:48.705646+00:00,2025-04-27T11:28:49.825070+00:00,1119.4,tile11
2025-04-27T11:28:50.709746+00:00,2025-04-27T11:28:50.767314+00:00,57.6,tile13
2025-04-27T11:28:51.712003+00:00,2025-04-27T11:28:51.734335+00:00,22.3,tile14
2025-04-27T11:28:52.714906+00:00,2025-04-27T11:28:52.733105+00:00,18.2,tile15
2025-04-27T11:28:53.717783+00:00,2025-04-27T11:28:53.740179+00:00,22.4,tile16
2025-04-27T11:28:54.720326+00:00,2025-04-27T11:28:54.990165+00:00,269.8,tile17
2025-04-27T11:28:55.722559+00:00,2025-04-27T11:28:55.744345+00:00,21.8,tile18
2025-04-27T11:28:58.728934+00:00,2025-04-27T11:28:59.856124+00:00,1127.2,tile1
2025-04-27T11:28:59.732735+00:00,2025-04-27T11:29:00.845575+00:00,1112.8,tile2
2025-04-27T11:29:00.734438+00:00,2025-04-27T11:29:00.869714+00:00,135.3,tile3
2025-04-27T11:29:01.736969+00:00,2025-04-27T11:29:01.761481+00:00,24.5,tile4
2025-04-27T11:29:02.738865+00:00,2025-04-27T11:29:02.767035+00:00,28.2,tile5
2025-04-27T11:29:03.740980+00:00,2025-04-27T11:29:03.757807+00:00,16.8,tile6
2025-04-27T11:29:04.743153+00:00,2025-04-27T11:29:05.030586+00:00,287.4,tile7
2025-04-27T11:29:05.745376+00:00,2025-04-27T11:29:05.768137+00:00,22.8,tile8
2025-04-27T11:29:06.748125+00:00,2025-04-27T11:29:07.305939+00:00,557.8,tile9
2025-04-27T11:29:07.750189+00:00,2025-04-27T11:29:09.242693+00:00,1492.5,tile10
2025-04-27T11:29:08.752384+00:00,2025-04-27T11:29:09.682448+00:00,930.1,tile11
2025-04-27T11:29:10.757432+00:00,2025-04-27T11:29:10.785248+00:00,27.8,tile13
2025-04-27T11:29:11.759683+00:00,2025-04-27T11:29:11.781783+00:00,22.1,tile14
2025-04-27T11:29:12.762109+00:00,2025-04-27T11:29:12.786622+00:00,24.5,tile15
2025-04-27T11:29:13.764075+00:00,2025-04-27T11:29:13.781571+00:00,17.5,tile16
2025-04-27T11:29:14.766337+00:00,2025-04-27T11:29:15.115604+00:00,349.3,tile17
2025-04-27T11:29:15.768920+00:00,2025-04-27T11:29:15.785311+00:00,16.4,tile18
2025-04-27T11:29:18.776166+00:00,2025-04-27T11:29:19.687363+00:00,911.2,tile1
2025-04-27T11:29:19.778837+00:00,2025-04-27T11:29:20.433074+00:00,654.2,tile2
2025-04-27T11:29:20.780960+00:00,2025-04-27T11:29:20.805285+00:00,24.3,tile3
2025-04-27T11:29:21.782599+00:00,2025-04-27T11:29:21.802116+00:00,19.5,tile4
2025-04-27T11:29:22.785253+00:00,2025-04-27T11:29:22.800394+00:00,15.1,tile5
2025-04-27T11:29:23.787410+00:00,2025-04-27T11:29:23.809669+00:00,22.3,tile6
2025-04-27T11:29:24.789820+00:00,2025-04-27T11:29:25.098291+00:00,308.5,tile7
2025-04-27T11:29:25.792111+00:00,2025-04-27T11:29:25.808820+00:00,16.7,tile8
2025-04-27T11:29:26.796662+00:00,2025-04-27T11:29:27.933282+00:00,1136.6,tile9
2025-04-27T11:29:27.800100+00:00,2025-04-27T11:29:28.770965+00:00,970.9,tile10
2025-04-27T11:29:28.803216+00:00,2025-04-27T11:29:29.782750+00:00,979.5,tile11
2025-04-27T11:29:30.810282+00:00,2025-04-27T11:29:30.828883+00:00,18.6,tile13
2025-04-27T11:29:31.812495+00:00,2025-04-27T11:29:31.826634+00:00,14.1,tile14
2025-04-27T11:29:32.815296+00:00,2025-04-27T11:29:32.835093+00:00,19.8,tile15
2025-04-27T11:29:33.817540+00:00,2025-04-27T11:29:33.839144+00:00,21.6,tile16
2025-04-27T11:29:34.819485+00:00,2025-04-27T11:29:35.011812+00:00,192.3,tile17
2025-04-27T11:29:35.821065+00:00,2025-04-27T11:29:35.843114+00:00,22.0,tile18
2025-04-27T11:29:38.826431+00:00,2025-04-27T11:29:39.367268+00:00,540.8,tile1
2025-04-27T11:29:39.828842+00:00,2025-04-27T11:29:40.697266+00:00,868.4,tile2
2025-04-27T11:29:40.830476+00:00,2025-04-27T11:29:40.847621+00:00,17.1,tile3
2025-04-27T11:29:41.832136+00:00,2025-04-27T11:29:41.849383+00:00,17.2,tile4
2025-04-27T11:29:42.834972+00:00,2025-04-27T11:29:42.850496+00:00,15.5,tile5
2025-04-27T11:29:43.842310+00:00,2025-04-27T11:29:43.862521+00:00,20.2,tile6
2025-04-27T11:29:44.844623+00:00,2025-04-27T11:29:45.027634+00:00,183.0,tile7
2025-04-27T11:29:45.847334+00:00,2025-04-27T11:29:45.867568+00:00,20.2,tile8
2025-04-27T11:29:46.849902+00:00,2025-04-27T11:29:47.980184+00:00,1130.3,tile9
2025-04-27T11:29:47.852516+00:00,2025-04-27T11:29:48.781773+00:00,929.3,tile10
2025-04-27T11:29:48.855813+00:00,2025-04-27T11:29:49.826269+00:00,970.5,tile11
2025-04-27T11:29:50.859328+00:00,2025-04-27T11:29:50.873315+00:00,14.0,tile13
2025-04-27T11:29:51.861233+00:00,2025-04-27T11:29:51.877297+00:00,16.1,tile14
2025-04-27T11:29:52.863376+00:00,2025-04-27T11:29:52.886816+00:00,23.4,tile15
2025-04-27T11:29:53.868886+00:00,2025-04-27T11:29:54.551224+00:00,682.3,tile16
2025-04-27T11:29:54.871469+00:00,2025-04-27T11:29:55.351534+00:00,480.1,tile17
2025-04-27T11:29:55.873474+00:00,2025-04-27T11:29:55.894834+00:00,21.4,tile18
2025-04-27T11:29:58.880433+00:00,2025-04-27T11:29:59.875579+00:00,995.1,tile1
2025-04-27T11:29:59.883070+00:00,2025-04-27T11:30:00.667733+00:00,784.7,tile2
2025-04-27T11:30:00.885908+00:00,2025-04-27T11:30:00.904134+00:00,18.2,tile3
2025-04-27T11:30:01.888767+00:00,2025-04-27T11:30:01.911727+00:00,23.0,tile4
2025-04-27T11:30:02.891953+00:00,2025-04-27T11:30:02.909885+00:00,17.9,tile5
2025-04-27T11:30:03.897475+00:00,2025-04-27T11:30:03.921541+00:00,24.1,tile6
2025-04-27T11:30:05.903013+00:00,2025-04-27T11:30:05.925082+00:00,22.1,tile8
2025-04-27T11:30:06.905902+00:00,2025-04-27T11:30:08.357729+00:00,1451.8,tile9
2025-04-27T11:30:07.908755+00:00,2025-04-27T11:30:09.285052+00:00,1376.3,tile10
2025-04-27T11:30:08.911357+00:00,2025-04-27T11:30:10.375004+00:00,1463.6,tile11
2025-04-27T11:30:10.916962+00:00,2025-04-27T11:30:10.939137+00:00,22.2,tile13
2025-04-27T11:30:11.920173+00:00,2025-04-27T11:30:11.938070+00:00,17.9,tile14
2025-04-27T11:30:12.923117+00:00,2025-04-27T11:30:12.942155+00:00,19.0,tile15
2025-04-27T11:30:13.926499+00:00,2025-04-27T11:30:13.944088+00:00,17.6,tile16
2025-04-27T11:30:14.929146+00:00,2025-04-27T11:30:15.103877+00:00,174.7,tile17
2025-04-27T11:30:15.930812+00:00,2025-04-27T11:30:15.946793+00:00,16.0,tile18
2025-04-27T11:30:18.939773+00:00,2025-04-27T11:30:19.809061+00:00,869.3,tile1
2025-04-27T11:30:19.941662+00:00,2025-04-27T11:30:20.486954+00:00,545.3,tile2
2025-04-27T11:30:20.943530+00:00,2025-04-27T11:30:20.960117+00:00,16.6,tile3
2025-04-27T11:30:21.945930+00:00,2025-04-27T11:30:21.965331+00:00,19.4,tile4
2025-04-27T11:30:22.948366+00:00,2025-04-27T11:30:22.968760+00:00,20.4,tile5
2025-04-27T11:30:23.952227+00:00,2025-04-27T11:30:24.222461+00:00,270.2,tile6
2025-04-27T11:30:25.957118+00:00,2025-04-27T11:30:25.982903+00:00,25.8,tile8
2025-04-27T11:30:26.959580+00:00,2025-04-27T11:30:28.175770+00:00,1216.2,tile9
2025-04-27T11:30:27.961775+00:00,2025-04-27T11:30:29.325580+00:00,1363.8,tile10
2025-04-27T11:30:28.964816+00:00,2025-04-27T11:30:29.990237+00:00,1025.4,tile11
2025-04-27T11:30:30.969149+00:00,2025-04-27T11:30:30.988236+00:00,19.1,tile13
2025-04-27T11:30:31.971338+00:00,2025-04-27T11:30:31.989803+00:00,18.5,tile14
2025-04-27T11:30:32.973320+00:00,2025-04-27T11:30:32.995647+00:00,22.3,tile15
2025-04-27T11:30:33.976224+00:00,2025-04-27T11:30:34.221649+00:00,245.4,tile16
2025-04-27T11:30:34.978230+00:00,2025-04-27T11:30:35.045534+00:00,67.3,tile17
2025-04-27T11:30:35.980538+00:00,2025-04-27T11:30:36.000384+00:00,19.8,tile18
2025-04-27T11:30:38.985852+00:00,2025-04-27T11:30:39.762133+00:00,776.3,tile1
2025-04-27T11:30:39.989198+00:00,2025-04-27T11:30:40.380672+00:00,391.5,tile2
