ts,cpu,ram
2025-04-27T11:28:18.619983+00:00,0.0,65.5
2025-04-27T11:28:23.630949+00:00,26.7,66.6
2025-04-27T11:28:28.641701+00:00,61.6,71.8
2025-04-27T11:28:33.653704+00:00,59.8,76.3
2025-04-27T11:28:38.663713+00:00,28.9,76.5
2025-04-27T11:28:43.674303+00:00,17.8,75.3
2025-04-27T11:28:48.690045+00:00,17.9,74.4
2025-04-27T11:28:53.706660+00:00,16.1,73.7
2025-04-27T11:28:58.719345+00:00,17.7,71.6
2025-04-27T11:29:03.734939+00:00,15.2,72.0
2025-04-27T11:29:08.744994+00:00,16.7,71.9
2025-04-27T11:29:13.754514+00:00,15.4,71.9
2025-04-27T11:29:18.764388+00:00,17.8,71.7
2025-04-27T11:29:23.777880+00:00,16.6,71.7
2025-04-27T11:29:28.787852+00:00,16.8,71.6
2025-04-27T11:29:33.801292+00:00,12.7,71.6
2025-04-27T11:29:38.813371+00:00,15.6,71.7
2025-04-27T11:29:43.842788+00:00,19.2,72.3
2025-04-27T11:29:48.856282+00:00,18.5,72.4
2025-04-27T11:29:53.869362+00:00,18.5,72.7
2025-04-27T11:29:58.880943+00:00,19.2,73.4
2025-04-27T11:30:03.898252+00:00,16.3,74.2
2025-04-27T11:30:08.910917+00:00,19.2,74.2
2025-04-27T11:30:13.927158+00:00,18.3,71.8
2025-04-27T11:30:18.940269+00:00,18.9,72.3
2025-04-27T11:30:23.952683+00:00,16.3,72.2
2025-04-27T11:30:28.962824+00:00,19.6,72.0
2025-04-27T11:30:33.975795+00:00,14.4,71.9
2025-04-27T11:30:38.985229+00:00,17.2,72.1
2025-04-27T11:30:44.002015+00:00,15.4,72.1
2025-04-27T11:30:49.015641+00:00,17.5,72.0
2025-04-27T11:30:54.031012+00:00,15.9,72.0
2025-04-27T11:30:59.041837+00:00,15.8,71.9
2025-04-27T11:31:04.053914+00:00,17.8,72.8
2025-04-27T11:31:09.065372+00:00,25.9,72.9
2025-04-27T11:31:14.076762+00:00,21.2,72.8
2025-04-27T11:31:19.089960+00:00,26.3,72.9
2025-04-27T11:31:24.102500+00:00,26.4,73.0
2025-04-27T11:31:29.113964+00:00,20.4,72.8
2025-04-27T11:31:34.129267+00:00,14.8,73.0
2025-04-27T11:31:39.142114+00:00,23.0,73.1
2025-04-27T11:31:44.152755+00:00,23.6,72.2
2025-04-27T11:31:49.162547+00:00,21.1,65.7
